Russian,English
я,I
не,Not
что,What
в,V
и,And
ты,You
это,This
на,on
с,With
он,He
мы,We
как,How
вы,You
да,Yes
мне,to me
у,u
нет,No
меня,me
так,So
но,But
а,A
его,his
все,All
она,she
тебя,you
о,O
если,If
за,behind
бы,would
тебе,you
они,They
чтобы,to
же,the same
есть,There is
просто,Just
из,from
к,To
для,For
ну,Well
когда,When
хорошо,Fine
здесь,Here
по,By
был,was
знаю,I know
то,That
только,only
всё,All
было,was
вас,you
может,Maybe
нас,us
вот,Here
от,from
быть,be
кто,Who
будет,will
почему,Why
вам,to you
их,their
очень,Very
могу,Can
уже,already
спасибо,Thank you
или,or
нам,us
еще,more
там,there
нужно,need to
сейчас,Now
где,Where
чем,how
хочу,Want
ничего,Nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,You know
п,P
до,before
этом,this
потому,That's why
теперь,Now
думаю,Think
больше,more
её,her
со,CO
раз,once
ему,to him
надо,necessary
время,time
этот,this
ли,Lee
ещё,more
пока,Bye
даже,even
привет,Hello
сказал,said
себя,myself
должен,must
тоже,Same
хочешь,Want
давай,Let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,Then
него,him
ни,Neither
тут,here
были,were
конечно,Certainly
правда,Truth
об,about
моя,my
пожалуйста,Please
тобой,you
сказать,say
сегодня,Today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,Means
сделать,do
всегда,Always
дело,case
можно,Can
ей,to her
должны,must
порядке,order
без,without
день,day
том,volume
буду,will
делать,do
хотел,I wanted to
чего,what
эти,these
много,a lot of
после,after
этим,This
всего,Total
во,in
твой,is yours
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,Mister
жизнь,life
потом,Then
ней,her
такой,such
который,which
всех,All
через,through
им,them
возможно,Maybe
немного,A little
такое,Such
слишком,too much
себе,yourself
зачем,For what
должна,must
моей,mine
люди,People
знаете,You know
этой,this
думаешь,You think
свою,my
точно,Exactly
человек,Human
твоя,yours
под,under
сказала,said
назад,back
из-за,because of
эту,This
можем,Can
случилось,It happened
мама,Mother
мог,Could
вместе,together
отец,father
сделал,did
мои,my
кажется,Seems
друг,Friend
куда,Where
никто,nobody
поэтому,That's why
эта,this
которые,which
два,two
тот,That
сколько,How many
понимаю,Understand
снова,again
жизни,life
нравится,like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,place
знать,know
кто-то,somebody
прости,sorry
отлично,Great
похоже,Seems like
парень,boy
домой,home
всем,All
деньги,money
иди,Go
времени,time
дома,Houses
именно,exactly
доктор,doctor
думал,thought
говорил,said
делаешь,You do
будем,We will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,Is it
слушай,Listen
своей,his
лишь,only
ага,Yeah
можете,You can
простите,Sorry
хотела,I wanted to
сам,myself
что-нибудь,anything
тем,those
будешь,You will
прошу,I beg
три,three
деле,business
хотите,want to
говорить,speak
давайте,Let's
совсем,at all
знал,He knew
знает,He knows
какой,Which
моего,mine
скажи,Tell
дом,house
дела,affairs
вами,you
свои,their
ж,and
говорит,speaks
несколько,some
должно,must
про,pro
ваш,your
происходит,is happening
жаль,it's a pity
туда,there
действительно,really
папа,dad
завтра,Tomorrow
оно,it
черт,crap
одна,one
перед,before
наш,our
уверен,sure
отсюда,From here
нужна,Need
самом,yourself
тех,those
нужен,Need
свой,mine
мою,mine
кого,whom
верно,right
работу,work
каждый,every
твоей,yours
будут,will be
хватит,enough
понял,Understood
нее,her
уж,Well
имя,Name
против,against
кое-что,something
пор,por
чём,how
раньше,earlier
говорю,I say
более,more
надеюсь,Hope
итак,So
при,at
ваша,Your
вообще,at all
пошли,went
мать,mother
нельзя,it is forbidden
наверное,Maybe
нами,us
твои,yours
могли,Could
дай,give
ради,for the sake
всю,All
ребята,Guys
ко,ko
хотя,Although
понимаешь,understand
идти,go
этих,These
откуда,where
такая,Such
ясно,It's clear
другой,another
извините,Sorry
вижу,I see
видеть,see
над,above
могут,can
равно,equals
мисс,Miss
скоро,soon
будто,Like
зовут,The name is
виду,sight
наши,our
думала,I thought
послушай,listen
между,between
своего,your own
вопрос,question
этому,this
почти,almost
года,of the year
человека,man
которая,which
подожди,Wait
руки,hands
нормально,Fine
такие,such
возьми,Take it
минут,minutes
извини,Sorry
вещи,things
могла,Could
смотри,Look
хоть,though
работа,Job
пару,pair
сын,son
ваше,yours
дня,Day
пора,It's time
неё,Her
жить,live
видишь,You see
достаточно,enough
господи,God
быстро,fast
твою,yours
весь,All
убить,Kill
ночь,night
говоришь,You say
собой,yourself
скажу,I will say
готов,ready
слышал,heard
какая,which
посмотри,look
первый,first
самое,Most
видела,I saw
пусть,let
месте,place
нашли,Found
сказали,They said
плохо,Badly
смогу,I can
ваши,Yours
отца,Father
детей,children
знаем,We know
рад,glad
прав,right
никаких,No
имею,I have
миссис,Mrs.
иногда,Sometimes
смерти,of death
своих,their own
пойду,I'll go
брат,Brother
вроде,like
рядом,near
мир,world
произошло,happened
которую,which
сделала,I did it
говорила,She said
знала,I knew
мое,my
одного,one
таким,So
помощь,help
такого,Such
кем,by whom
насчет,about
вчера,yesterday
случае,case
увидеть,see
нашей,ours
говорят,They say
правильно,Right
убил,Killed
одно,One
пойти,Go
друга,friend
сама,herself
долго,for a long time
работать,work
дверь,door
делает,does
женщина,woman
важно,important
кроме,except
будь,Be
собираюсь,going to
вашей,yours
нужны,Need
здорово,Great
номер,number
проблема,problem
проблемы,Problems
денег,money
чёрт,crap
хороший,good
твоего,yours
одну,One
дальше,further
вернуться,return
давно,for a long time
последний,last
ночи,nights
узнать,to know
уверена,sure
машину,car
права,rights
пять,five
моих,mine
также,Also
тому,that
вечером,In the evening
дети,children
опять,again
вообще-то,Actually
серьезно,seriously
работает,works
своим,his own
сначала,at first
две,Two
одной,one
моим,mine
те,those
жена,wife
думаете,Think
помнишь,Remember
глаза,eyes
ними,them
чувак,dude
ночью,at night
чувствую,feel
взять,take
сразу,straightaway
утром,in the morning
часть,Part
придется,have to
стать,become
идея,idea
дорогая,Expensive
прекрасно,Wonderful
слова,words
сделали,done
